"통계분류(1)",통계분류(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사 유적지 방문,박물관 전시관 관람,업무수행,전통문화체험,유흥/오락,연수/교육/연구,뷰티/의료관광,K-POP/한류스타 관련 공연장 방문,스포츠/레포츠 관람 및 참가,지역축제참여,연극 뮤지컬 발레 등 공연 관람 및 지역축제 참여,시찰(산업시설 등),기타,사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사 유적지 방문,박물관 전시관 관람,업무수행,전통문화체험,유흥/오락,연수/교육/연구,뷰티/의료관광,K-POP/한류스타 관련 공연장 방문,스포츠/레포츠 관람 및 참가,지역축제참여,드라마/ 영화 촬영지 방문,연극 뮤지컬 발레 등 공연 관람 및 지역축제 참여,시찰(산업시설 등),기타,사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사 유적지 방문,박물관 전시관 관람,업무수행,전통문화체험,유흥/오락,연수/교육/연구,뷰티/의료관광,K-POP/한류스타 관련 공연장 방문,스포츠/레포츠 관람 및 참가,지역축제참여,드라마/ 영화 촬영지 방문,연극 뮤지컬 발레 등 공연 관람 및 지역축제 참여,시찰(산업시설 등),기타
"국가",중동,62,71,32.3,37.1,22.6,12.9,61.3,14.5,25.8,16.1,11.3,4.8,3.2,3.2,1.6,0,3.2,124,78.2,37.1,40.3,30.6,20.2,46.8,18.5,22.6,26.6,18.5,4,5.6,4.8,3.2,4.8,3.2,4.8,493,81.7,36.9,54.4,57,36.5,39.1,30.6,23.3,12,17,7.9,6.5,10.5,5.3,5.7,2.4,0.6
"국가",인도,20,25,20,15,10,10,85,5,10,15,0,0,0,5,5,0,0,95,78.9,18.9,33.7,24.2,15.8,80,9.5,7.4,11.6,2.1,0,3.2,3.2,3.2,0,0,0,220,77.7,35,44.1,47.7,24.5,72.3,17.3,20.5,11.8,5.5,2.7,6.4,6.8,1.4,2.7,2.3,2.3
"국가",필리핀,13,53.8,30.8,38.5,15.4,7.7,69.2,0,15.4,7.7,7.7,7.7,0,0,7.7,0,0,33,57.6,42.4,42.4,33.3,30.3,39.4,27.3,12.1,36.4,6.1,0,3,6.1,6.1,3,0,3,185,89.7,64.3,64.9,62.7,44.9,23.2,42.2,17.8,0.5,12.4,13.5,11.4,2.7,17.8,2.7,0,3.2
"국가",인도네시아,5,80,40,60,20,20,60,20,40,40,40,0,20,0,0,0,0,89,92.1,47.2,60.7,58.4,48.3,30.3,39.3,23.6,56.2,10.1,10.1,5.6,5.6,12.4,2.2,0,2.2,457,93,65.9,70.9,68.7,48.4,22.1,50.1,31.1,20.1,16.2,16.8,4.2,7.7,15.1,3.7,2.6,0.2
"국가",베트남,6,66.7,83.3,66.7,33.3,33.3,16.7,50,16.7,83.3,16.7,16.7,16.7,33.3,16.7,0,0,18,72.2,61.1,38.9,22.2,11.1,16.7,16.7,16.7,22.2,11.1,5.6,0,0,5.6,0,0,11.1,152,96.7,83.6,78.9,55.3,39.5,15.8,31.6,25,16.4,11.8,11.2,14.5,9.2,11.8,7.2,0.7,0.7
"국가",몽골,2,50,50,50,0,0,0,50,0,0,50,0,0,0,0,0,0,39,89.7,46.2,53.8,33.3,28.2,23.1,28.2,28.2,35.9,30.8,7.7,0,10.3,5.1,7.7,0,7.7,71,93,52.1,54.9,35.2,25.4,19.7,21.1,25.4,45.1,19.7,7,11.3,8.5,5.6,9.9,0,0
"국가",기타,158,57,22.2,39.9,27.2,14.6,58.2,10.1,24.1,33.5,9.5,5.1,2.5,2.5,3.2,1.9,0.6,1198,63.1,20.2,49.7,48.8,38.4,50.9,32,26.1,28.9,11,4.3,8,4.5,5.9,3.6,0.8,2.6,3104,69.4,36.8,54.7,64.1,46.4,39.7,36.8,28.3,13.1,13,9.2,11.5,9.8,7,6.6,1.9,1.6
"성별",남성,838,48.2,40.1,30.1,15.3,8,63.5,7,11.6,19.3,3.2,1.4,5.7,2.1,2.4,1.3,1.8,4454,55.8,32,32.4,23.4,15.7,60.1,11.8,10.8,22.3,3.2,1.3,5.7,2.1,1.2,2,0.9,3.2,9279,66.6,47.1,45.4,44.3,27.9,50.6,21.7,20.5,11.7,4,3.2,8.8,5.2,2.4,3.2,1.9,1.4
"성별",여성,597,82.4,54.6,49.9,27.5,17.6,16.8,14.7,24.6,47.6,19.9,12.1,6.9,3.5,5.4,0.2,2,3681,87.4,48.5,57.3,48.4,38.8,15,32.5,27.4,54.2,23,8.1,6.5,4.9,7.9,6.3,0.4,2.7,10264,90.9,63.5,61.8,57.9,40.6,11.9,37.2,27.9,18.3,20.9,15.6,8.1,9.1,11.7,7.4,0.3,1.7
"연령",15~19세,4,75,0,50,25,25,25,0,0,0,25,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",20대,646,81.3,56.8,52.9,33.7,21.8,13.5,19.8,29.4,66.1,16.4,12.7,9.9,5,6.7,0.3,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",30대,332,51.8,39.8,30.7,14.5,4.8,69.3,3.9,8.4,3.3,6,0.6,4.2,1.8,2.7,2.1,3.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",40대,244,43,33.2,18.9,5.3,2.9,77.5,1.2,7,2.9,4.5,0,1.2,0.4,0,0.8,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",50대,155,43.2,36.1,23.2,3.9,2.6,64.5,0.6,4.5,0,1.9,0,3.2,0,0,0,3.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",60대 이상,54,44.4,48.1,40.7,11.1,5.6,46.3,3.7,3.7,1.9,9.3,0,5.6,0,0,1.9,3.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",15-20 세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,679,91,48,59.9,51,45.5,6.5,38.9,38.7,73.8,20.5,11.6,11.3,6.5,9.6,8.2,0,1.9,1173,92.3,59.8,65.6,61.9,47.7,2.6,45.9,38.5,42.7,18.8,20.9,17.2,15.3,15.3,10,0.3,1.1
"연령",21-30 세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3744,83.4,46,53.4,45.5,36.7,21.2,30.2,27.2,59.6,18.2,6.5,8.4,4.5,6.3,5.9,0.5,1.9,7857,88.9,61.7,62.3,59.1,43,14.8,38.6,35.6,25,18.7,15.6,11.4,11,10.6,8,0.5,1.1
"연령",31-40 세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1773,60.5,33.8,34,23.7,14.6,62.4,10,8.3,11.1,6,1.5,3.6,2.3,1.6,1.6,1.1,3.6,4657,77,53.7,48.9,46.9,28.8,41.4,23.5,18.7,6.1,9.7,5.5,6,4.8,4.5,3.3,1.3,1.6
"연령",41-50 세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,992,45.8,26.7,25.9,16.7,9.8,72.4,7.8,3.9,4.4,3.5,0.2,2.2,1.3,0.9,0.8,1,2.6,3056,68.6,48.4,41.6,40.4,22.8,52.1,18,13.3,4.1,7.3,3.3,5.3,3,3.5,2.4,1.6,1.5
"연령",51-60 세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,706,47,29.6,27.9,19,9.2,65,7.5,2.5,1.8,2.3,0.7,1.3,1,0.8,0.8,0.8,6.2,2066,61.8,47.5,43.9,43,25.4,47.7,19.8,8.7,3,5.7,3.1,3.6,2,3.8,2.8,1.8,2.1
"연령",61 세이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,241,44.4,36.5,36.1,21.6,9.5,44.4,8.3,1.7,0.4,6.2,0.8,2.5,1.2,0,0.4,0.4,11.6,734,65.4,52.3,59.7,50.1,33.8,29.2,26.8,6.9,3.5,4.6,1.6,5.2,3.7,2.3,3.7,2,5.6
"방한목적",여가/위락/휴식,44,79.5,56.8,72.7,40.9,18.2,4.5,22.7,20.5,2.3,9.1,2.3,11.4,2.3,2.3,0,0,316,91.8,54.1,76.3,65.2,37,0.6,32.3,23.4,0.6,13.3,8.5,5.7,1.9,8.2,3.5,0,0.6,7306,92.7,74.5,67.4,64.1,41.4,0.5,38.4,29,0.3,15,13.6,5.7,5.3,11.7,4.9,0.1,0.4
"방한목적",친구/친지방문,272,76.8,62.1,54,16.2,7,0.7,5.9,11.4,0.4,14,2.2,7.7,0.4,0.7,0,8.5,1082,78.8,59.6,59.9,36.5,20.4,1.7,15.7,10.1,1,12.3,1.6,4.3,2.2,2,2,0.5,10.1,2517,87,64.1,68,62.1,42.7,0.4,33.5,25.3,0.3,14.9,4,6.3,6.2,3.4,3.7,0,7.7
"방한목적",사업 또는 전문 활동,649,40.5,27.6,19,11.1,5.1,95.2,3.2,9.2,2.6,2.8,1.1,2.8,1.2,1.2,1.7,0.3,3345,47.2,20.8,22.1,16.7,9.8,94.9,6.9,6.2,2.8,3,1,2.3,1.6,0.7,1,1,1,6164,54.8,28.9,27.3,30.1,15.2,94.1,9.9,10.3,5.9,3.3,1.3,3.9,2.9,0.9,2.2,3,0.5
"방한목적",교육,468,83.1,61.8,53,33.8,23.9,2.1,21.4,30.8,91.2,18.4,15,9.6,6.2,8.8,0.2,0,3249,89.3,51.6,58.1,50.3,44.3,0.9,37.1,33.6,88.5,21.5,8.6,10.5,5.9,8.3,7.8,0.5,0.1,3126,91.4,59.6,66.9,58.4,52.7,1.5,47.8,43.1,82.2,25.3,23,18.9,21.7,13.7,14.8,0.3,0.2
"방한목적",종교 및 순례,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,57.1,4.8,52.4,42.9,33.3,14.3,47.6,4.8,23.8,4.8,0,4.8,0,0,0,0,52.4,40,70,27.5,55,60,35,25,42.5,2.5,7.5,5,7.5,10,12.5,0,2.5,0,57.5
"방한목적",기타,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,122,55.7,18.9,20.5,13.9,13.1,3.3,5.7,3.3,1.6,13.9,0.8,7.4,0,0,0,0,68.9,390,73.6,46.9,31.3,24.6,14.1,2.1,14.1,5.4,0.5,14.4,3.3,61,5.1,0.8,1.3,0,6.7
"방한횟수",1회,367,68.1,42.8,43.9,31.3,18.5,43.3,15,23.2,39,9.8,7.4,7.1,3.3,2.7,1.1,1.1,3205,75.4,34.5,54,50.6,40.4,37.3,33.4,28,43.6,13.8,5.5,7.8,4.2,6.2,4.5,0.6,2.3,9174,82.5,53.7,63.9,67.9,48.1,24.3,42.6,30.9,17.5,13.6,11.4,10.2,10.1,9.4,6.4,0.9,1.3
"방한횟수",2회,303,64.7,45.9,39.6,23.8,13.9,44.6,13.2,26.7,37,11.6,8.9,8.3,4.3,6.9,1.3,1,1369,69.8,36.8,42,34,22.5,42.6,19.9,16,33.9,11.6,4,5.3,3.3,4,3.9,0.5,2.8,3371,80.8,57,55.2,49.9,29.7,30.7,27.1,22.6,14.4,12.6,8.7,7,6,5.9,5.1,0.8,1.4
