"통계분류(1)",통계분류(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기후/뚜렷한 사계절,이미용 서비스,숙박시설/편리한 교통,친구 친지 방문,휴가 시간,템플스테이 태권도 등 한국전통 문화 체험,기타,계,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,휴가 시간,기타,계,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,자국과의 이동거리,경제적인 여행비용,기타,계,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기타,계,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기타,계
"국가",독일,10.5,2,18.3,6.1,3.3,0.7,1.1,0,0.4,2.2,0,0,0.6,39.1,2.8,7.5,5.3,100,23.1,6.3,21.9,10.5,4.7,1.5,4,0,3.4,1.1,0,14.2,9.4,100,6,16.7,0,0,33.3,0,0,0,0,0,0,50,100,21,23.8,4.8,14.3,14.3,0,0,0,0,0,4.8,0,0,38.1,100,398,26.9,7.5,21.6,12.1,4,2,4.8,2,0.3,1,0.8,0.3,16.8,100
"국가",프랑스,13.7,2.5,12.2,9,0.7,0.7,4.6,2,0.5,1.1,0,0,0.4,38.2,6.9,4.5,3,100,17.4,3,28.6,10.4,3,0.6,6.1,0,2.4,2.1,0.1,20.6,5.5,100,3,66.7,0,0,0,0,0,0,0,0,0,33.3,100,64,17.2,4.7,9.4,4.7,0,3.1,0,1.6,0,0,0,0,59.4,100,700,32.1,5.4,20,11.6,5.1,1.6,7.1,1.6,0,1,0.6,0.7,13.1,100
"국가",러시아,12.3,15.2,12.2,13.3,2.6,2.3,1.7,1.9,1.8,0.9,0.4,4.8,1.3,21.2,1.5,1.2,5.4,100,13.4,19.4,10.3,20.8,1.6,2.6,3.7,3.5,1.6,3,1.2,12.3,6.7,100,2,0,0,0,0,0,0,0,0,0,0,100,100,12,33.3,33.3,0,16.7,0,0,8.3,0,8.3,0,0,0,0,100,60,28.3,10,13.3,16.7,5,3.3,3.3,1.7,10,0,1.7,0,6.7,100
"국가",중동,7.6,11.7,8,11.2,3.3,1.4,1.5,1.2,0,1.1,0,10.7,2,25,3.7,1.3,10.4,100,13.2,29.3,9,11.5,2.4,3.2,3.8,9.5,0,1.5,0.3,13.2,3,100,2,0,0,0,0,0,0,0,0,0,0,100,100,8,12.5,25,0,25,0,0,0,0,0,0,0,0,37.5,100,208,16.3,19.2,14.4,14.4,10.1,2.9,4.3,2.4,2.9,1.4,0,0,11.5,100
"국가",중앙아시아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.6,27.7,7.1,14.8,0.8,3.3,4.6,11.2,0,1.6,0.6,15.9,4.7,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"국가",GCC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.1,33.8,8.9,9.2,1.4,3.9,1.4,13.9,0,1.2,0,14.1,0.1,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"국가",기타중동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.6,29.8,14.6,4,8.2,2.2,3.7,0,0,1.6,0,4.4,0.9,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"국가",인도,11.7,9.1,11.6,8.4,5,2.1,0,0,0,0,0,0,1.6,31.2,10.8,0,8.6,100,9.1,14,32.6,15.8,4.4,0,2.6,1.9,0,0,0,11.4,8.3,100,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,100,100,23,21.7,17.4,4.3,26.1,0,4.3,0,8.7,0,4.3,0,0,13,100
"국가",필리핀,20,11.6,7.5,21.1,5.5,1.4,3.2,0.6,0.8,0.9,2.9,0.3,0.5,8.5,12.7,2.1,0.3,100,22.5,10.6,14.9,15.4,12.5,1.3,1.9,0.6,0.4,0.5,0.7,15.2,3.6,100,-,-,-,-,-,-,-,-,-,-,-,-,-,5,40,20,0,20,0,0,20,0,0,0,0,0,0,100,122,39.3,18,10.7,7.4,9.8,4.1,1.6,0.8,0,0.8,0.8,0,6.6,100
"국가",인도네시아,26,20.9,5.9,17.5,5.2,0.4,2.2,0.7,0.5,1.8,1.4,0.8,0.5,5.6,8.1,2.1,0.5,100,33.2,13.9,8.3,15.9,8.6,1,5.7,0,1,0.6,0,10.4,1.3,100,-,-,-,-,-,-,-,-,-,-,-,-,-,3,33.3,33.3,0,0,0,0,0,0,0,0,0,0,33.3,100,261,45.2,16.9,6.1,10,9.6,1.5,3.4,0.4,3.4,0.4,0,0,3.1,100
"국가",베트남,28.8,19.3,7.2,17.5,2.4,2.2,3.1,0.2,0.9,1.2,1.1,0.7,1.5,7.5,2.3,3.3,0.8,100,21.1,22.2,7.4,19,2.9,10.4,3.8,1,0.2,1.5,0.6,8.2,1.7,100,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,0,0,0,50,0,0,0,50,100,78,47.4,20.5,7.7,16.7,1.3,1.3,0,0,0,0,0,1.3,3.8,100
"국가",몽골,17.9,22.2,4,11.2,1.3,2.6,1.8,0,0.8,1.4,0,2.6,0.8,23.8,4.9,1.6,3.1,100,21.4,23.3,8.1,14.4,0,1,3.9,6.9,0,1.5,1.1,12.1,6.2,100,1,0,0,0,0,0,0,0,0,0,0,100,100,3,0,33.3,0,0,0,0,0,0,33.3,0,33.3,0,0,100,19,5.3,21.1,10.5,21.1,0,5.3,5.3,0,10.5,0,0,5.3,15.8,100
