"행정구역별(1)","시점",계,시각예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술
"행정구역별(1)","시점",소계,소계,소계,소계,국악,국악,양악,양악,연극,연극,무용,무용,혼합,혼합
"행정구역별(1)","시점",활동건수 (건),활동건수 (건),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회)
"경상북도","2016",38.3,14.7,23.7,106.8,1.6,1.7,8.8,9.2,10.5,92.9,1.0,1.0,1.8,2.1
"경상북도","2017",43.2,14.6,28.6,54.9,2.2,3.8,12.7,13.7,9.5,32.6,1.9,2.0,2.2,2.9
"경상북도","2018",47.0,15.1,32.0,49.8,1.8,2.1,12.1,12.9,10.5,22.1,1.4,1.6,6.2,11.1
"경상북도","2019",55.6,14.7,40.9,73.0,2.4,2.8,15.9,17.5,17.6,38.5,2.0,2.5,3.0,11.8
"경상북도","2020",24.8,13.1,11.7,31.6,0.8,1.0,5.0,5.8,3.3,19.0,0.5,0.7,2.0,5.0
"경상북도","2021",61.3,26.3,35.0,651.6,4.0,278.5,11.6,186.6,10.8,60.0,1.7,83.2,6.9,43.2
"경상북도","2022",56.6,24.0,32.6,72.1,2.2,2.9,11.6,12.2,12.6,39.7,1.7,2.0,4.5,15.3
"경상남도","2015",55.0,16.9,38.1,85.9,2.5,4.2,18.3,22.8,13.7,54.6,2.3,2.6,1.3,1.8
"경상남도","2016",50.1,15.7,34.4,65.7,1.8,1.9,15.6,16.2,12.8,42.4,1.8,2.4,2.4,2.8
"경상남도","2017",54.7,16.1,38.6,71.4,2.0,2.1,18.0,18.8,13.0,42.8,1.7,2.1,3.8,5.6
"경상남도","2018",57.7,16.7,41.1,109.3,2.8,3.1,18.4,20.3,14.7,79.5,1.6,2.2,3.6,4.2
"경상남도","2019",80.4,23.7,56.8,155.7,2.2,2.4,21.7,23.3,23.9,118.7,1.7,1.9,7.2,9.4
"경상남도","2020",21.0,9.3,11.7,54.5,0.5,0.6,5.8,6.4,3.5,45.5,0.8,1.0,1.0,1.0
"경상남도","2021",50.2,19.2,31.0,50.9,1.6,3.3,16.0,17.2,9.5,26.1,1.7,2.0,2.2,2.4
"경상남도","2022",68.6,26.4,42.2,73.7,2.2,2.4,20.6,21.7,15.0,44.4,1.8,2.2,2.6,2.9
"제주특별자치도","2015",117.2,48.2,69.0,1400.2,4.4,7.2,40.9,43.8,17.4,1031.7,4.9,5.6,1.4,311.9
"제주특별자치도","2016",133.3,41.8,91.5,867.7,5.0,5.5,49.3,182.4,16.1,560.8,5.5,99.9,15.7,19.2
"제주특별자치도","2017",131.9,44.4,87.5,596.0,4.0,103.3,44.6,53.3,24.2,418.2,5.3,6.7,9.4,14.5
"제주특별자치도","2018",130.1,44.4,85.7,634.8,3.6,145.2,46.0,54.7,26.1,422.1,4.2,5.5,5.8,7.2
"제주특별자치도","2019",165.7,53.4,112.4,394.0,4.2,146.4,53.1,57.4,38.9,165.9,4.9,5.8,11.3,18.6
"제주특별자치도","2020",40.3,29.8,10.5,23.4,0.0,0.0,7.0,8.3,2.2,13.5,0.4,0.4,0.9,1.2
"제주특별자치도","2021",95.6,41.8,53.8,160.9,1.6,2.7,31.8,38.0,10.0,101.1,3.7,5.3,6.6,13.9
"제주특별자치도","2022",146.9,46.8,100.1,582.1,4.2,4.9,49.2,107.2,28.6,446.8,6.7,7.3,11.4,16.0
