"소재지(시군구)별(1)","시점",계,계,공연장,공연장,박물관,박물관,미술관,미술관,과학관,과학관,문화산업단지,문화산업단지,문화산업진흥시설,문화산업진흥시설,지방문화원,지방문화원,문화예술진흥시설,문화예술진흥시설,전시시설,전시시설,국제회의시설,국제회의시설,공공도서관,공공도서관,전문도서관,전문도서관
"소재지(시군구)별(1)","시점",시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡)
"대구광역시","2013",6,57849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,57849,-,-,-,-,-,-,-,-
"대구광역시","2014",6,57849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,57849,-,-,-,-,-,-,-,-
"대구광역시","2015",6,57849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,57849,-,-,-,-,-,-,-,-
"대구광역시","2016",11,50258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35350,0,0,0,0,6,14908,0,0
"대구광역시","2017",12,55071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,40163,0,0,0,0,6,14908,0,0
"대구광역시","2018",12,56705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,40163,-,-,-,-,6,16542,-,-
"대구광역시","2019",12,56705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,40163,-,-,-,-,6,16542,-,-
"대구광역시","2020",13,57059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,40517,-,-,-,-,6,16542,-,-
"대구광역시","2021",13,57059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,40517,-,-,-,-,6,16542,-,-
"대구광역시","2022",15,86372,-,-,-,-,-,-,-,-,-,-,-,-,1,1201,7,40517,-,-,-,-,7,44654,-,-
"대구광역시","2023",19,123477,-,-,-,-,-,-,-,-,-,-,-,-,1,1201,10,72093,-,-,-,-,8,50183,-,-
"인천광역시","2005",12,139333,4,43885,2,42892,0,0,0,0,0,0,0,0,0,0,6,52556,-,-,-,-,-,-,-,-
"인천광역시","2006",12,139333,4,43885,2,42892,0,0,0,0,0,0,0,0,0,0,6,52556,-,-,-,-,-,-,-,-
"인천광역시","2007",12,139333,4,43885,2,42892,0,0,0,0,0,0,0,0,0,0,6,52556,-,-,-,-,-,-,-,-
"인천광역시","2008",15,155844,2,22529,0,0,0,0,1,21706,0,0,0,0,0,0,12,111609,-,-,-,-,-,-,-,-
