"통계분류(1)","통계분류(2)",시점,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"연령","15~19세",2019,1076,790,285,674,196,296,221,16,1504,1483,377,750,809,1083,916,998,368
"연령","15~19세",2020,638,382,126,226,50,73,140,66,1175,486,118,335,352,451,445,380,172
"연령","15~19세",2021,564,445,112,162,66,82,65,95,1406,604,123,365,301,616,635,366,168
"연령","15~19세",2022,818,609,145,328,69,142,112,28,1308,788,177,447,521,635,857,405,351
"연령","15~19세",2023,917,619,131,309,73,171,104,61,1422,1180,134,517,564,802,733,410,385
"연령","20대",2018,2310,3944,777,1827,369,436,477,38,5509,7546,905,2545,2728,3207,2647,2694,2365
"연령","20대",2019,4439,4471,1119,2136,462,691,541,199,7062,6862,1209,2907,2898,3502,3543,2701,2360
"연령","20대",2020,2391,2373,486,1687,327,504,420,271,7022,4520,976,2638,2124,3110,2222,2705,1298
"연령","20대",2021,2670,2744,723,1863,209,509,410,193,8707,4316,1164,2452,2130,3413,3108,2841,2253
"연령","20대",2022,3217,3261,399,1909,271,624,720,192,9503,5451,992,3122,2231,3410,3406,3554,2896
"연령","20대",2023,3035,3089,619,1845,224,657,538,226,7672,6495,1121,2787,2557,3067,3158,3665,1849
"연령","30대",2018,1533,3506,728,1126,275,614,463,133,5517,8376,1205,3004,2240,3758,3937,3859,2632
"연령","30대",2019,2316,3116,926,2102,563,971,763,245,7707,7989,1630,4189,2895,4138,4277,3931,2523
"연령","30대",2020,1435,1921,476,1102,205,719,503,297,7871,4189,1573,3361,2370,2855,2619,3548,2152
"연령","30대",2021,1567,1880,541,1256,214,433,776,193,8922,4962,1407,3107,2405,3219,4169,3891,2672
"연령","30대",2022,1979,2071,716,2041,148,649,734,298,9982,6391,1869,3396,2420,3674,3934,4168,2885
"연령","30대",2023,1827,2292,717,1857,282,563,670,247,9117,7019,1697,3600,2413,3955,4493,4358,2405
"연령","40대",2018,896,3380,485,1524,436,913,618,121,4169,9229,1508,4076,2900,5162,5806,5689,3020
"연령","40대",2019,1844,2716,697,1915,499,930,758,280,7461,7278,2207,4546,3801,5495,4753,5073,1949
"연령","40대",2020,1243,1204,443,1635,252,490,412,169,6865,4728,1447,3239,2279,3078,3108,3640,1805
