"지역별(1)","시점",사업체,사업체,사업체,사업체,사업체,사업체,사업체,사업체,구성비,구성비,구성비,구성비,구성비,구성비,구성비
"지역별(1)","시점",전체,여행업,관광숙박업,관광객이용시설업,국제회의업,카지노업,유원시설업,관광편의시설업,여행업,관광숙박업,관광객이용시설업,국제회의업,카지노업,유원시설업,관광편의시설업
"광주","2014",452,333,19,0,18,0,9,73,73.7,4.2,0,4,0,2,16.2
"광주","2015",500,379,18,3,16,0,12,79,75.8,3.6,0.6,3.2,0,2.4,15.8
"광주","2016",583,435,18,30,17,0,25,58,74.6,3.1,5.1,2.9,0,4.3,9.9
"광주","2017",660,513,15,28,24,0,44,36,77.7,2.3,4.2,3.6,0,6.7,5.5
"광주","2018",733,550,13,24,22,0,64,60,75,1.8,3.3,3,0,8.7,8.2
"광주","2019",659,473,14,32,22,0,66,52,71.8,2.1,4.9,3.3,0,10,7.9
"광주","2020",609,431,13,41,25,0,55,44,70.8,2.1,6.7,4.1,0,9,7.2
"광주","2021",512,324,14,41,29,0,60,45,63.2,2.7,8,5.6,0,11.7,8.8
"광주","2022",654,462,16,39,30,0,57,50,70.6,2.4,6,4.6,0,8.7,7.6
"광주","2023",706,506,15,49,36,0,49,51,71.7,2.1,6.9,5.1,0,6.9,7.2
"대전","2013",419,280,19,0,24,0,4,92,66.8,4.5,0,5.7,0,1,22
"대전","2014",454,308,19,1,28,0,19,79,67.8,4.2,0.2,6.2,0,4.2,17.4
"대전","2015",528,358,24,7,29,0,36,89,67.8,4.5,1.3,5.5,0,6.8,16.9
"대전","2016",596,400,23,12,30,0,58,73,67.1,3.9,2,5,0,9.7,12.2
"대전","2017",607,462,20,12,21,0,84,8,76.1,3.3,2,3.5,0,13.8,1.3
