"시점","통계분류(1)",통계분류(2),공연장수,가동률
"2019","전체",소계,1334,49.2
"2019","지역1",서울,450,66.7
"2019","지역1",부산,82,53.8
"2019","지역1",대구,76,50
"2019","지역1",인천,41,40.2
"2019","지역1",광주,42,47.8
"2019","지역1",대전,40,67.1
"2019","지역1",울산,21,40.9
"2019","지역1",세종,2,22.5
"2019","지역1",경기,167,37.1
"2019","지역1",강원,58,33.3
"2019","지역1",충북,30,47.9
"2019","지역1",충남,50,26.1
"2019","지역1",전북,59,41.7
"2019","지역1",전남,54,26.8
"2019","지역1",경북,59,28.8
"2019","지역1",경남,74,27.8
"2019","지역1",제주,29,54.7
"2019","지역2",서울,450,66.7
"2019","지역2",경기/인천,208,37.7
"2019","지역2",강원,58,33.3
"2019","지역2",충청,122,44.9
"2019","지역2",전라,155,38.2
"2019","지역2",경상,312,41.1
"2019","지역2",제주,29,54.7
"2019","지역3",특별/광역시,754,60.3
"2019","지역3",광역도,580,34.7
"2019","지역4",수도권,658,57.5
"2019","지역4",비수도권,676,41
"2019","시설특성",중앙정부,37,66.4
"2019","시설특성",문예회관,434,38.4
"2019","시설특성",기타(공공),273,32.8
"2019","시설특성",대학로,138,85.9
"2019","시설특성",민간(대학로 외),452,56.8
"2019","운영주체2",공공,677,37.7
"2019","운영주체2",민간,657,61
"2020","전체",소계,1325,21.3
"2020","지역1",서울,435,32.1
"2020","지역1",부산,84,25.1
"2020","지역1",대구,73,24.1
"2020","지역1",인천,40,11.5
"2020","지역1",광주,39,24.8
"2020","지역1",대전,42,20.5
"2020","지역1",울산,22,26.6
"2020","지역1",세종,3,26.1
"2020","지역1",경기,172,10.1
"2020","지역1",강원,61,14.1
"2020","지역1",충북,30,27.3
"2020","지역1",충남,52,7.5
"2020","지역1",전북,59,20.4
"2020","지역1",전남,52,8.9
"2020","지역1",경북,60,7.9
"2020","지역1",경남,76,12.8
"2020","지역1",제주,25,21.1
"2020","지역2",서울,435,32.1
"2020","지역2",경기/인천,212,10.3
"2020","지역2",강원,61,14.1
"2020","지역2",충청,127,16.9
"2020","지역2",전라,150,17.5
"2020","지역2",경상,315,18.7
"2020","지역2",제주,25,21.1
"2020","지역3",특별/광역시,738,28.1
"2020","지역3",광역도,587,12.7
"2020","지역4",수도권,647,24.9
"2020","지역4",비수도권,678,17.8
"2020","시설특성",중앙정부,38,39.7
"2020","시설특성",문예회관,448,13
"2020","시설특성",기타(공공),267,9.1
"2020","시설특성",대학로,125,45.3
"2020","시설특성",민간(대학로 외),447,28.5
"2020","운영주체2",공공,692,13.4
"2020","운영주체2",민간,633,29.9
"2021","전체",소계,1281,33
"2021","지역1",서울,409,48.3
"2021","지역1",부산,74,34.7
"2021","지역1",대구,71,39.8
"2021","지역1",인천,44,23.8
"2021","지역1",광주,40,33.5
"2021","지역1",대전,40,40.7
"2021","지역1",울산,20,21.8
"2021","지역1",세종,3,22.8
"2021","지역1",경기,174,21
"2021","지역1",강원,62,21.6
"2021","지역1",충북,29,32.6
