년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2014-05",143,21.2,15.1,27.9
"			2014-06",143,23.4,19.4,28.4
"			2014-07",143,27,23.1,31.9
"			2014-08",143,24.7,21.7,28.8
"			2014-09",143,22.5,18.1,27.8
"			2014-10",143,16.4,11.6,22
"			2014-11",143,10.3,5.9,15.7
"			2014-12",143,1.2,-2.8,5.8
"			2015-01",143,2.3,-1.7,6.8
"			2015-02",143,3.8,-0.6,9
"			2015-03",143,9.2,3.3,15.5
"			2015-04",143,14.6,9.5,20.2
"			2015-05",143,21.7,15.4,28
"			2015-06",143,22.9,18.3,28.5
"			2015-07",143,25,21.3,29.5
"			2015-08",143,26,22,31.2
"			2015-09",143,20.6,16.2,25.9
"			2015-10",143,15.8,10.4,22.2
"			2015-11",143,11,7.6,15
"			2015-12",143,4.5,0.5,9
"			2016-01",143,-0.2,-4.2,4.3
"			2016-02",143,3.1,-1.6,8.3
"			2016-03",143,8.8,3.5,14.5
"			2016-04",143,14.9,9.5,21
"			2016-05",143,20,13.6,26.7
"			2016-06",143,23.4,19.1,28.3
"			2016-07",143,26.4,22.6,31.5
"			2016-08",143,27.6,23.2,33.2
"			2016-09",143,21.9,18.7,25.9
"			2016-10",143,16.6,13.1,21
"			2016-11",143,8.8,4.1,14
"			2016-12",143,4,-0.6,8.7
"			2017-01",143,1.1,-3.7,6.3
"			2017-02",143,3.2,-2.2,8.8
"			2017-03",143,7.9,2.4,13.9
"			2017-04",143,15.7,9.6,22
"			2017-05",143,20.8,14.5,27.5
"			2017-06",143,23.3,17.9,30
"			2017-07",143,28,24,32.8
"			2017-08",143,26.4,22.5,31.4
"			2017-09",143,21.5,16.4,27
"			2017-10",143,16.2,12,21.2
"			2017-11",143,7.8,2.3,14.2
"			2017-12",143,0.7,-4,5.8
"			2018-01",143,-0.9,-5.2,4
"			2018-02",143,1.3,-4.2,7.1
"			2018-03",143,9.2,3.3,15.6
"			2018-04",143,15,8.9,21.4
"			2018-05",143,19.2,14.2,24.8
"			2018-06",143,23.6,18.7,28.7
"			2018-07",143,28.2,24,33.1
"			2018-08",143,27.7,23.7,32.9
"			2018-09",143,21,17.2,25.4
"			2018-10",143,14.3,9.3,20
"			2018-11",143,8.8,3.3,15.2
"			2018-12",143,2,-2.3,7
"			2019-01",143,1.7,-3.5,7.3
"			2019-02",143,4,-0.9,9.1
"			2019-03",143,9.4,3.6,15.5
"			2019-04",143,13.5,8,19.4
"			2019-05",143,20.7,13.6,27.5
"			2019-06",143,22.8,17.8,28.5
"			2019-07",143,25.8,22.3,30
"			2019-08",143,27.4,23.7,32.2
"			2019-09",143,22.6,19.1,27
"			2019-10",143,16.8,12.2,22
"			2019-11",143,9.8,4.3,16.3
"			2019-12",143,3.5,-1,9
"			2020-01",143,3.8,0.1,8.4
"			2020-02",143,4.9,0.2,10.4
"			2020-03",143,9.5,3.6,15.8
"			2020-04",143,12.6,6.5,19
"			2020-05",143,19.4,14,25.7
"			2020-06",143,24.5,19.3,30.5
"			2020-07",143,23.2,20.2,26.8
"			2020-08",143,28.6,24.8,33.3
"			2020-09",143,21.2,17.1,26
"			2020-10",143,15.4,10.1,21.3
"			2020-11",143,9.7,4.5,15.3
"			2020-12",143,1.6,-3.1,7.2
"			2021-01",143,0.5,-4.3,5.9
"			2021-02",143,4.8,-0.6,11.1
"			2021-03",143,10.2,4.7,16.1
"			2021-04",143,14.5,8.8,20.6
"			2021-05",143,18.3,12.8,24.3
"			2021-06",143,23.2,18.9,28.5
"			2021-07",143,26.9,22.9,32.1
"			2021-08",143,25.7,22.4,30.5
"			2021-09",143,22.1,18.7,26.4
"			2021-10",143,16.5,11.5,22.7
"			2021-11",143,9.5,4.4,15.7
"			2021-12",143,3.1,-2.1,8.9
"			2022-01",143,0.9,-4.1,6.8
"			2022-02",143,1.6,-3.4,7.4
"			2022-03",143,9.7,3.8,15.9
"			2022-04",143,15.9,9.4,22.7
"			2022-05",143,20.7,14.1,27.4
"			2022-06",143,24.3,19.8,29.7
"			2022-07",143,27.5,23.7,32.4
"			2022-08",143,26.9,23.4,31.4
"			2022-09",143,21.9,17.7,26.8
"			2022-10",143,15.5,10.1,21.6
"			2022-11",143,11,5.2,17.7
"			2022-12",143,0.4,-4,5.4
"			2023-01",143,0.9,-4.3,6.7
"			2023-02",143,4.4,-0.7,10.4
"			2023-03",143,11.8,5.4,18.8
"			2023-04",143,14.8,8.8,20.9
"			2023-05",143,19.3,13.8,25.1
"			2023-06",143,24,19.3,29.6
"			2023-07",143,26.7,23.1,31.1
"			2023-08",143,27.5,24,31.9
"			2023-09",143,23.5,20,27.9
"			2023-10",143,15.9,10.5,22.4
"			2023-11",143,9.2,4.1,15.1
"			2023-12",143,3.5,-1.3,8.6
"			2024-01",143,2.3,-2.1,7.6
"			2024-02",143,5.4,1.5,10.4
"			2024-03",143,8.5,3.2,14.3
"			2024-04",143,16.3,10.8,22.5
"			2024-05",143,19.4,12.9,26.2
"			2024-06",143,24.6,19.4,30.4
"			2024-07",143,27.8,24.5,31.7
"			2024-08",143,29.1,25,34.4
"			2024-09",143,25.4,21.6,30.4
"			2024-10",143,17,13,21.8
"			2024-11",143,10.7,6,16.3
"			2024-12",143,3.5,-0.8,8.3
"			",,,,
