,포지션,회사명,지역명,경력,링크
372,ML engineer/ AI researcher (Senior),알세미,서울 강남구 , 경력 5-10년,/wd/262809
373,Artificial Intelligence (AI) Researcher,휴런,서울 영등포구 , 경력 2-10년,/wd/262980
374,ML Engineer (Trust & Safety),라이너(Liner),서울 마포구 , 경력 3년 이상,/wd/262957
375,Senior Data Engineer,라이너(Liner),서울 마포구 , 경력 5년 이상,/wd/248658
376,[Slot] Server,앤서스랩코리아,서울 강남구 , 경력 3-5년,/wd/245174
377,[DX]Data Warehouse Engineer,앤서스랩코리아,서울 강남구 , 경력 6년 이상,/wd/245126
378,[R&D] ML/DL 엔지니어 (5년 이상),에코앤리치,서울 성동구 , 경력 5년 이상,/wd/216934
379,백엔드 엔지니어(B.E),클래스유,서울 중구 , 경력 3년 이상,/wd/262850
380,Back-End 개발자,타디스테크놀로지,서울 성동구 , 경력 2-7년,/wd/262786
381,Sr. Machine Learning Software Engineer (MG AI),하이퍼커넥트,서울 강남구 , 경력 4년 이상,/wd/254450
382,블록체인 개발팀 (팀원) - DevOps 엔지니어,이노그리드,서울 중구 , 경력 5년 이상,/wd/261935
383,비전 AI 솔루션 아키텍트,한국딥러닝,서울 서초구 , 경력 3-15년,/wd/262613
384,AI 엔지니어,한국딥러닝,서울 서초구 , 경력 3-15년,/wd/262611
385,시니어 ML/DL 비전 엔지니어,한국딥러닝,서울 서초구 , 경력 5-18년,/wd/262614
386,Senior Data Analyst (5년 이상),메이크스타,서울 강남구 , 경력 5-15년,/wd/203288
387,K8S 구축 백엔드 빅데이터 개발자,미리비트,경기 성남시 , 경력 3-15년,/wd/251691
388,[CROSS SHOP] Python Backend Developer,크로스이엔에프,서울 강남구 , 경력 3-8년,/wd/238977
389,Senior AI Research Engineer,타이드풀(TIDEPOOL),경기 용인시 , 경력 3-8년,/wd/183049
390,백엔드 개발자 (3~7년),핑퐁,서울 종로구 , 경력 3-7년,/wd/262509
391,AI Engineer,아키스케치,서울 성동구 , 경력 2-10년,/wd/261919
392,[AI플랫폼팀]데이터사이언티스트,씨제이올리브영(CJ올리브영),서울 용산구 , 경력 6-15년,/wd/262480
393,[AI플랫폼팀] 백엔드 개발자,씨제이올리브영(CJ올리브영),서울 용산구 , 경력 6-12년,/wd/262493
394,Machine Learning Software Engineer (MG AI),하이퍼커넥트,서울 강남구 , 경력 2년 이상,/wd/262494
395,디지털 헬스케어 분야 데이터 분석 전문가,렉스소프트,서울 관악구 , 신입 이상,/wd/262488
396,[기술본부] Machine Learning Engineer (3년이상),데브시스터즈(Devsisters),서울 강남구 , 경력 3년 이상,/wd/262455
397,[기술본부] Data Platform Software Engineer,데브시스터즈(Devsisters),서울 강남구 , 경력 3년 이상,/wd/262459
398,MLOps Engineer,여기어때컴퍼니,서울 강남구 , 경력 5-10년,/wd/253684
399,"Machine Learning Engineer, R&D",클로버추얼패션(CLOVirtualFashion),서울 강남구 , 경력 2년 이상,/wd/157781
400,"Machine Learning Engineer, R&D",클로버추얼패션(CLOVirtualFashion),서울 강남구 , 경력 2년 이상,/wd/157781
401,백엔드개발자 (3년~5년),테이텀,서울 강남구 , 경력 3-5년,/wd/262364
402,인공지능 개발자,니어브레인,서울 강남구 , 경력 3-7년,/wd/262340
403,[AI연구소] AI연구원 - Computer Vision AI,딥노이드(Deepnoid),서울 구로구 , 신입,/wd/236095
404,Backend Junior Engineer (PHP / Python),코비그룹,서울 강남구 , 신입-경력 3년,/wd/262295
405,백엔드 개발자 (클라우드),그루매틱,경기 성남시 , 경력 3-7년,/wd/198604
406,머신러닝 엔지니어 (LLM),마키나락스,서울 서초구 , 경력 3-8년,/wd/225016
407,AI Research Engineer (Document AI),업스테이지,경기 , 경력 2-10년,/wd/262161
408,AI 엔지니어 (전문연구요원 신규/편입 가능),워트인텔리전스,서울 서초구 , 경력 3-20년,/wd/231152
409,신약개발 특허분석 인공지능 연구원,보로노이,인천 연수구 , 신입-경력 10년,/wd/258119
410,신약개발 단백질 구조예측  인공지능 연구원,보로노이,인천 연수구 , 경력 3년 이상,/wd/261663
411,신약개발 NLP / OCR  인공지능 연구원,보로노이,인천 연수구 , 경력 3-10년,/wd/207703
412,Computer Vision AI Engineer_senior,파인더스에이아이,서울 서초구 , 경력 7-12년,/wd/235821
413,Computer Vision AI Engineer_Junior,파인더스에이아이,서울 서초구 , 신입-경력 5년,/wd/235822
414,Forward Deployed Engineer,베슬에이아이(VESSL AI),서울 서초구 , 경력 3년 이상,/wd/262106
415,Prompt Engineer,위티,서울 종로구 , 신입-경력 3년,/wd/261241
416,데이터 엔지니어,핵클(Hackle),서울 강남구 , 경력 5-20년,/wd/159253
417,Data Engineer,지엔터프라이즈,서울 강남구 , 경력 3-7년,/wd/261996
418,Quantitative Developer,슈페릭스,서울 강남구 , 경력 3-25년,/wd/106153
419,차세대R&D센터 (팀원),이노그리드,서울 중구 , 경력 3년 이상,/wd/261967
420,Backend Engineer - Platform,에이비일팔공(AB180),서울 서초구 , 경력 3년 이상,/wd/248675
421,[클라우드 연구센터] 인프라 플랫폼팀 (팀장),이노그리드,서울 중구 , 경력 3년 이상,/wd/261956
422,"L4-L7스위치 연동 S/W 및 API 애플리케이션 C,Python,Linux",파이오링크,서울 금천구 , 경력 2-10년,/wd/243135
423,콘텐츠 프로듀서 (데이터 사이언스 교육),코드잇(codeit),서울 중구 , 신입-경력 10년,/wd/218263
424,백엔드 개발자(Backend Developer),크리스비,서울 서대문구 , 신입-경력 2년,/wd/261717
425,AI Engineer (LLM),워프스페이스,서울 서초구 , 경력 2-10년,/wd/230817
426,"인공지능, 알고리즘 엔지니어",럭스로보(LUXROBO),서울 강남구 , 경력 2년 이상,/wd/233519
427,[Healthacre BU] AI Engineer,삼양식품,서울 성동구 , 경력 2년 이상,/wd/261596
428,데이터엔지니어 (3년 이상),카이헬스,서울 강남구 , 경력 3년 이상,/wd/261523
429,AI Engineer(3년 이상),포디(FODI),서울 강남구 , 경력 3-7년,/wd/261551
430,AI 연구/개발 담당자,씨어스테크놀로지,경기 성남시 , 경력 5년 이상,/wd/261537
431,서비스개발본부 백엔드개발팀 백엔드개발자,비큐에이아이,서울 중구 , 경력 3년 이상,/wd/258361
432,ML Engineer,티오리(Theori),서울 강남구 , 경력 3년 이상,/wd/259036
433,백엔드 엔지니어,빅테크플러스,서울 영등포구 , 경력 3-5년,/wd/261304
434,MLOps Team Leader,여기어때컴퍼니,서울 강남구 , 경력 7-15년,/wd/199680
435,영상처리 알고리즘 신입 개발자,유아이엠디,경기 과천시 , 신입-경력 2년,/wd/261297
436,데이터분석가,넛지헬스케어(캐시워크),서울 강남구 , 신입-경력 3년,/wd/157552
437,AI 백엔드 엔지니어,서치라이트,서울 노원구 , 경력 3-7년,/wd/261211
438,[프로그래머스] 백엔드 개발자 (교육솔루션팀),그렙(프로그래머스),서울 서초구 , 신입-경력 3년,/wd/261160
439,백엔드 개발자(3년 이상),데일리샷,서울 강남구 , 경력 3-7년,/wd/206447
440,[개발운영] 주니어 AI 개발자 (병역특례 전문연구요원),누리미디어(DBpia),서울 마포구 , 신입,/wd/257808
441,System Trading Developer,에스앤제이랩(SNJLab),서울 강남구 , 경력 3-15년,/wd/181911
442,데이터 엔지니어,펫프렌즈,서울 강남구 , 경력 3-5년,/wd/261084
443,[AI연구팀] Computer Vision AI 엔지니어,텔레픽스,서울 영등포구 , 경력 2-10년,/wd/261037
444,풀스택 웹 개발자 (Python/Django),웜블러드,서울 강남구 , 경력 4-8년,/wd/142233
445,AI Scientist (연구/개발),제네시스랩,서울 중구 , 경력 1-10년,/wd/260957
446,데이터 분석가(Data Analyst),더스윙,서울 용산구 , 경력 1-10년,/wd/260933
447,비전 알고리즘 개발,에이치비솔루션,충남 아산시 , 경력 1년 이상,/wd/260907
448,Expert Backend Engineer (Lunit SCOPE),루닛(Lunit),서울 강남구 , 경력 10-12년,/wd/220384
449,3차원 머신비전 알고리즘 개발자,클레,서울 성동구 , 경력 2-10년,/wd/134568
450,Sotware Engineer -AI/ML,블루개러지(Blue Garage),서울 강동구 , 경력 4년 이상,/wd/260755
451,Data Engineer - 2년 이상,샵라이브,서울 강남구 , 경력 2-5년,/wd/260713
452,광학장비(검사장비) 소프트웨어 개발자,위브,경기 성남시 , 경력 3-7년,/wd/260632
453,"Development, SW 개발 담당 (5년이상)",프로메디우스,서울 송파구 , 경력 5-8년,/wd/260649
454,BE Engineer,이마고웍스,서울 강남구 , 경력 5년 이상,/wd/260263
455,Search Engineer (전문연구요원 가능),라이너(Liner),서울 마포구 , 경력 3년 이상,/wd/230097
456,개발 리드(서버 개발 팀장),펀치랩,서울 강남구 , 경력 6-10년,/wd/260265
457,Machine Learning Researcher (Vision),메디픽셀,서울 강남구 , 경력 1-10년,/wd/204312
458,Data Scientist (Manufacturing Data) (KR),가우스랩스(Gauss Labs),서울 강남구 , 경력 3년 이상,/wd/260372
459,DBA,핀다(FINDA),서울 , 경력 2년 이상,/wd/260359
460,AI Engineer,자비스앤빌런즈(삼쩜삼),서울 강남구 , 경력 3-10년,/wd/228746
461,Product Data Analyst,라이너(Liner),서울 마포구 , 경력 3년 이상,/wd/85810
462,"NestJS, Python 백엔드 개발자(5년차이상)",씨에스엠17,서울 금천구 , 경력 5년 이상,/wd/255914
463,AI 개발자 (리더급),딥인사이트,경기 성남시 , 경력 5-7년,/wd/260005
464,데이터 엔지니어,카카오헬스케어,경기 성남시 , 경력 5년 이상,/wd/260101
465,[보안AI사업본부] 백엔드 개발자,딥노이드(Deepnoid),서울 구로구 , 경력 8년,/wd/260038
466,"AI 엔지니어 (89년 이후 출생, TIPS)",베베리아,서울 강남구 , 경력 3년 이상,/wd/259951
467,의료SW그룹 알고리즘 (5년 이상),에이엠시지(AMCGCo.Ltd.),서울 서초구 , 경력 5-20년,/wd/259869
468,AI/ML Engineer (전문연구요원 가능),플립션코리아,경기 성남시 , 경력 1-5년,/wd/259852
469,플랫폼 백엔드 개발자,넥슨유니버스,경기 성남시 , 경력 4년 이상,/wd/188531
470,웹서비스 백엔드 개발,어플레이즈,서울 강남구 , 경력 3-15년,/wd/164215
471,백엔드 엔지니어 (Python/Django),뮤즈라이브(Muzlive),서울 마포구 , 경력 2-10년,/wd/18295
472,[전문연구요원] Computer Vision Engineer,스누아이랩,경기 수원시 , 신입,/wd/259584
473,선행기술개발 머신비전 H/W,이엘피,경기 화성시 , 경력 3-10년,/wd/199637
474,연구소 회로설계 및 HW 개발,이엘피,경기 화성시 , 신입-경력 7년,/wd/241168
475,PC 제어 개발 (5년이상),이엘피,경기 화성시 , 경력 5-10년,/wd/253066
476,백엔드 개발자,디오비스튜디오,서울 마포구 , 경력 7년 이상,/wd/259470
477,AI Agent 개발자,르몽,서울 강남구 , 경력 2-10년,/wd/257472
478,데이터 사이언티스트,바로팜,서울 강남구 , 경력 1-10년,/wd/255684
479,AI 백엔드 엔지니어,인포유앤컴퍼니,서울 성동구 , 경력 3년 이상,/wd/259306
480,Python Backend Developer,크로스이엔에프,서울 강남구 , 경력 5-8년,/wd/238973
481,데이터 엔지니어 [데이터팀],원티드랩,서울 송파구 , 경력 3-10년,/wd/106479
482,파이썬 개발자 [HR솔루션팀],원티드랩,서울 송파구 , 경력 4년 이상,/wd/255475
483,Data Engineer,토스페이먼츠,서울 강남구 , 신입,/wd/257621
484,DBA(MySQL),토스페이먼츠,서울 강남구 , 경력 5년 이상,/wd/257623
485,[Mnet Plus] Data Analyst,씨제이이엔엠(CJ ENM),서울 마포구 , 경력 3년 이상,/wd/259165
486,백엔드 개발자,스매시,서울 강남구 , 경력 4년 이상,/wd/259109
487,AI Researcher & Engineer (2년 이상),나니아랩스,서울 강서구 , 경력 2년,/wd/259098
488,"B2G, B2B 사업 TPM(Technical Program Manager)",한국딥러닝,서울 서초구 , 경력 5-15년,/wd/258371
489,C++ 소프트웨어 엔지니어,클레온,서울 중구 , 경력 2-10년,/wd/258979
490,인공지능 개발자,바이브온코퍼레이션,서울 마포구 , 경력 3년 이상,/wd/258938
491,Deep learning(이미지) 연구/개발,씨드로닉스,서울 강남구 , 경력 3년 이상,/wd/258943
492,Back-end (AI Data Platform),씨드로닉스,서울 강남구 , 경력 2-5년,/wd/258942
493,AI Edge 하드웨어 기반 소프트웨어 엔지니어,비씨엠테크,경기 안양시 , 신입-경력 8년,/wd/258850
494,[Tech] DBA (5년 이상),위대한상상(요기요),서울 서초구 , 경력 5년 이상,/wd/255413
495,Runtime 소프트웨어 엔지니어 (전문연구요원 가능),에너자이(ENERZAi),서울 강남구 , 신입,/wd/185538
496,서버 개발자,타다(VCNC),서울 성동구 , 경력 2-10년,/wd/236489
497,백엔드 개발자 (2년이상),위즈덤하우스집현전,서울 강남구 , 경력 2-5년,/wd/258461
498,SW개발자(풀스택),알지티,서울 금천구 , 경력 5-12년,/wd/258588
499,금융 데이터 사이언티스트 / DATA SCIENTIST,앤톡(Antock),서울 성동구 , 경력 2-5년,/wd/258577
500,Technical Program Manager · AI Platform,루닛(Lunit),서울 강남구 , 경력 6년 이상,/wd/257367
501,미용의료기기 임베디드 S/W 개발자(2~10년),바즈바이오메딕,서울 강남구 , 경력 2-10년,/wd/253072
502,AI 개발자,일루니,서울 서초구 , 경력 1년 이상,/wd/258496
503,System SW Technical Lead,보스반도체,경기 성남시 , 경력 8-20년,/wd/240143
504,ADAS NPU AI SW엔지니어,보스반도체,경기 성남시 , 경력 2-20년,/wd/256909
505,Data Automation Core Platform Backend Engineer,인핸스(Enhans),서울 서초구 , 경력 4-15년,/wd/255704
506,Senior AI Engineer,누비랩,서울 강남구 , 경력 3년 이상,/wd/241300
507,데이터 사이언티스트(Data Scientist),그린랩스,서울 송파구 , 경력 2-5년,/wd/257507
508,Deep Learning Platform Engineer (전문연 가능),아이브,서울 서초구 , 경력 4년 이상,/wd/236866
509,[TADA] DevOps Engineer,이지식스(엠블),서울 강남구 , 경력 3-8년,/wd/258130
510,AI 엔지니어 리더,숲(SOOP),경기 성남시 , 경력 8년 이상,/wd/231163
511,머신러닝 솔루션 아키텍트,모레,서울 서초구 , 경력 1-5년,/wd/243908
512,가상자산추적분석 전문가,클로인트,서울 서초구 , 경력 5-15년,/wd/250850
513,데이터 사이언티스트 (검색/추천),컬리,서울 강남구 , 경력 2-7년,/wd/244755
