,포지션,회사명,지역명,경력,링크
192,프론트엔드 개발,메디플러스솔루션,서울 종로구 , 경력 5년 이상,/wd/261214
193,LLM Application Engineer,아이브릭스,경기 성남시 , 경력 1-15년,/wd/267299
194,Senior Machine Learning Engineer,심플랫폼,서울 금천구 , 경력 5-15년,/wd/263651
195,QA 담당자 (2년 이상),널리소프트,서울 영등포구 , 경력 2-5년,/wd/266770
196,[개발] 솔루션 개발팀장(9년 이상),혜움,서울 강남구 , 경력 9년 이상,/wd/266015
197,[개발] 프론트엔드 개발자(5-8년),혜움,서울 강남구 , 경력 5-8년,/wd/263827
198,[개발] 백엔드 개발자(5-8년),혜움,서울 강남구 , 경력 5-8년,/wd/263825
199,백엔드(Java) 개발자,컨두잇,서울 영등포구 , 경력 3-5년,/wd/204106
200,[Platform]Frontend Engineer,앤서스랩코리아,서울 강남구 , 경력 5-13년,/wd/245143
201,Android Engineer,센트비(Sentbe),서울 강남구 , 경력 5-8년,/wd/267284
202,[타운카] 백엔드 개발자 (4~7년),타운즈,서울 강남구 , 경력 4-7년,/wd/258592
203,백엔드 개발자 (3년 이상),미니게이트,서울 강남구 , 경력 3년 이상,/wd/267268
204,Software Engineer 백엔드 개발자,엔코위더스,서울 용산구 , 경력 5-10년,/wd/265578
205,프론트엔드개발자(5년이상),미니게이트,서울 강남구 , 경력 5년 이상,/wd/267278
206,안드로이드 개발자,미디어웹,서울 금천구 , 경력 3-5년,/wd/267272
207,[채널톡] Machine Learning Engineer,채널코퍼레이션,서울 강남구 , 경력 2-10년,/wd/167547
208,[채널톡] Software Engineer,채널코퍼레이션,서울 강남구 , 경력 1-10년,/wd/222071
209,Python 개발자,애드크림,서울 강남구 , 경력 3-20년,/wd/267253
210,모바일 앱 개발자(React-native),뉴플로이,서울 강남구 , 경력 1-3년,/wd/267180
211,QA Engineer,에스티씨랩(STCLab),서울 강남구 , 경력 3-7년,/wd/218752
212,[트립보드] 프론트엔드 개발자,문카데미,서울 종로구 , 경력 2년 이상,/wd/267250
213,백엔드 개발자,가인지캠퍼스,서울 마포구 , 경력 1-5년,/wd/267244
214,R&D팀 UI/UX 개발,엠투클라우드,서울 송파구 , 경력 2-10년,/wd/267239
215,"Software Engineer, DevOps and Infrastructure",로우키코드(DELIGHT LABS),서울 강남구 , 경력 3년 이상,/wd/267230
216,Robotics Engineer,씨메스(CMES),서울 강남구 , 경력 3-15년,/wd/256658
217,Software Developer,씨메스(CMES),서울 강남구 , 신입-경력 3년,/wd/255533
218,백엔드 개발자 (5년 이상),와이어바알리(wirebarley),서울 강남구 , 경력 5-10년,/wd/257514
219,백엔드 개발자 (1년 이상),바딧,서울 금천구 , 경력 1-10년,/wd/267194
220,웹 서비스 백엔드 개발자,이스트에이드(EST AID),서울 서초구 , 경력 3년 이상,/wd/231273
221,백엔드 개발자 (신입),바딧,서울 금천구 , 신입,/wd/267193
222,[쿠팡이츠] Senior QA Engineer (Eats Customer),쿠팡,서울 강남구 , 경력 5-20년,/wd/267229
223,[인턴] iOS 개발자,비모소프트,경기 안양시 , 신입,/wd/250141
224,iOS 개발자 (3년 이상),비모소프트,경기 안양시 , 경력 3-11년,/wd/251163
225,[인턴] 백엔드 개발자,비모소프트,경기 안양시 , 신입,/wd/250137
226,MLOps 엔지니어 (주니어),라이언로켓,서울 중구 , 경력 1-3년,/wd/267224
227,백엔드 개발자 (Node.js),큐피스트(글램),서울 강남구 , 경력 3-12년,/wd/29390
