기준일자,주요국가대륙명,국가명,목적구분,인원,전년동기,증감률
2018,유럽,노르웨이,유학연수,313.0,279.0,12.2
2018,유럽,노르웨이,기타,1191.0,1524.0,-21.9
2018,유럽,노르웨이,전체,13615.0,15872.0,-14.2
2018,유럽,스웨덴,관광,17194.0,14891.0,15.5
2018,유럽,스웨덴,상용,326.0,446.0,-26.9
2018,유럽,스웨덴,공용,93.0,87.0,6.9
2018,유럽,스웨덴,유학연수,681.0,603.0,12.9
2018,유럽,스웨덴,기타,1209.0,1231.0,-1.8
2018,유럽,스웨덴,전체,19503.0,17258.0,13.0
2018,유럽,폴란드,관광,13985.0,13070.0,7.0
2018,유럽,폴란드,상용,201.0,297.0,-32.3
2018,유럽,폴란드,공용,19.0,10.0,90.0
2018,유럽,폴란드,유학연수,287.0,263.0,9.1
2018,유럽,폴란드,기타,7479.0,7022.0,6.5
2018,유럽,폴란드,전체,21971.0,20662.0,6.3
2018,유럽,스위스,관광,16077.0,13473.0,19.3
2018,유럽,스위스,상용,317.0,283.0,12.0
2018,유럽,스위스,공용,25.0,19.0,31.6
2018,유럽,스위스,유학연수,294.0,326.0,-9.8
2018,유럽,스위스,기타,1390.0,1088.0,27.8
2018,유럽,스위스,전체,18103.0,15189.0,19.2
2018,유럽,포르투갈,관광,9408.0,8735.0,7.7
2018,유럽,포르투갈,상용,57.0,83.0,-31.3
2018,유럽,포르투갈,공용,1.0,1.0,0.0
2018,유럽,포르투갈,유학연수,112.0,106.0,5.7
2018,유럽,포르투갈,기타,1216.0,1584.0,-23.2
2018,유럽,포르투갈,전체,10794.0,10509.0,2.7
2018,유럽,오스트리아,관광,10243.0,8775.0,16.7
2018,유럽,오스트리아,상용,105.0,106.0,-0.9
2018,유럽,오스트리아,공용,30.0,30.0,0.0
2018,유럽,오스트리아,유학연수,249.0,241.0,3.3
2018,유럽,오스트리아,기타,2008.0,2075.0,-3.2
2018,유럽,오스트리아,전체,12635.0,11227.0,12.5
2018,유럽,핀란드,관광,9077.0,8003.0,13.4
2018,유럽,핀란드,상용,189.0,275.0,-31.3
2018,유럽,핀란드,공용,27.0,36.0,-25.0
2018,유럽,핀란드,유학연수,555.0,540.0,2.8
2018,유럽,핀란드,기타,4524.0,4233.0,6.9
2018,유럽,핀란드,전체,14372.0,13087.0,9.8
2018,유럽,벨기에,관광,10048.0,9154.0,9.8
2018,유럽,벨기에,상용,199.0,201.0,-1.0
2018,유럽,벨기에,공용,44.0,41.0,7.3
2018,유럽,벨기에,유학연수,281.0,237.0,18.6
2018,유럽,벨기에,기타,1927.0,1958.0,-1.6
2018,유럽,벨기에,전체,12499.0,11591.0,7.8
2018,유럽,크로아티아,관광,3041.0,2740.0,11.0
2018,유럽,크로아티아,상용,95.0,118.0,-19.5
2018,유럽,크로아티아,공용,14.0,2.0,600.0
2018,유럽,크로아티아,유학연수,35.0,31.0,12.9
2018,유럽,크로아티아,기타,2898.0,3179.0,-8.8
2018,유럽,크로아티아,전체,6083.0,6070.0,0.2
2018,유럽,그리스,관광,5869.0,5502.0,6.7
2018,유럽,그리스,상용,251.0,356.0,-29.5
2018,유럽,그리스,공용,39.0,20.0,95.0
2018,유럽,그리스,유학연수,24.0,17.0,41.2
2018,유럽,그리스,기타,3107.0,3607.0,-13.9
2018,유럽,그리스,전체,9290.0,9502.0,-2.2
2018,유럽,불가리아,관광,2885.0,2715.0,6.3
2018,유럽,불가리아,상용,36.0,26.0,38.5
2018,유럽,불가리아,공용,14.0,5.0,180.0
2018,유럽,불가리아,유학연수,91.0,84.0,8.3
2018,유럽,불가리아,기타,3053.0,4367.0,-30.1
2018,유럽,불가리아,전체,6079.0,7197.0,-15.5
2018,유럽,덴마크,관광,9769.0,8909.0,9.7
2018,유럽,덴마크,상용,195.0,301.0,-35.2
2018,유럽,덴마크,공용,84.0,54.0,55.6
2018,유럽,덴마크,유학연수,370.0,360.0,2.8
2018,유럽,덴마크,기타,1626.0,1784.0,-8.9
2018,유럽,덴마크,전체,12044.0,11408.0,5.6
2018,유럽,아일랜드,관광,6826.0,6048.0,12.9
2018,유럽,아일랜드,상용,103.0,187.0,-44.9
2018,유럽,아일랜드,공용,16.0,20.0,-20.0
2018,유럽,아일랜드,유학연수,46.0,44.0,4.5
2018,유럽,아일랜드,기타,1732.0,1815.0,-4.6
2018,유럽,아일랜드,전체,8723.0,8114.0,7.5
2018,유럽,기타,관광,27185.0,24021.0,13.2
2018,유럽,기타,상용,626.0,674.0,-7.1
2018,유럽,기타,공용,226.0,179.0,26.3
2018,유럽,기타,유학연수,999.0,877.0,13.9
2018,유럽,기타,기타,11495.0,12825.0,-10.4
2018,유럽,기타,전체,40531.0,38576.0,5.1
2018,오세아니아,연도대륙,관광,167882.0,160815.0,4.4
2018,오세아니아,연도대륙,상용,1411.0,3823.0,-63.1
2018,오세아니아,연도대륙,공용,526.0,497.0,5.8
2018,오세아니아,연도대륙,유학연수,411.0,465.0,-11.6
2018,오세아니아,연도대륙,기타,23201.0,23957.0,-3.2
2018,오세아니아,연도대륙,전체,193431.0,189557.0,2.0
2018,오세아니아,호주,관광,136023.0,130498.0,4.2
2018,오세아니아,호주,상용,1203.0,3536.0,-66.0
2018,오세아니아,호주,공용,294.0,307.0,-4.2
2018,오세아니아,호주,유학연수,337.0,385.0,-12.5
2018,오세아니아,호주,기타,15276.0,15682.0,-2.6
2018,오세아니아,호주,전체,153133.0,150408.0,1.8
2018,오세아니아,뉴질랜드,관광,27019.0,25686.0,5.2
2018,오세아니아,뉴질랜드,상용,178.0,269.0,-33.8
2018,오세아니아,뉴질랜드,공용,124.0,114.0,8.8
2018,오세아니아,뉴질랜드,유학연수,34.0,43.0,-20.9
2018,오세아니아,뉴질랜드,기타,6850.0,6976.0,-1.8
2018,오세아니아,뉴질랜드,전체,34205.0,33088.0,3.4
2018,오세아니아,기타,관광,4840.0,4631.0,4.5
2018,오세아니아,기타,상용,30.0,18.0,66.7
2018,오세아니아,기타,공용,108.0,76.0,42.1
2018,오세아니아,기타,유학연수,40.0,37.0,8.1
2018,오세아니아,기타,기타,1075.0,1299.0,-17.2
2018,오세아니아,기타,전체,6093.0,6061.0,0.5
2018,아프리카,연도대륙,관광,28060.0,25939.0,8.2
2018,아프리카,연도대륙,상용,7418.0,6339.0,17.0
2018,아프리카,연도대륙,공용,1075.0,1016.0,5.8
2018,아프리카,연도대륙,유학연수,2963.0,2905.0,2.0
2018,아프리카,연도대륙,기타,14203.0,13117.0,8.3
2018,아프리카,연도대륙,전체,53719.0,49316.0,8.9
2018,아프리카,남아프리카공화국,관광,6830.0,5684.0,20.2
2018,아프리카,남아프리카공화국,상용,97.0,130.0,-25.4
2018,아프리카,남아프리카공화국,공용,26.0,13.0,100.0
2018,아프리카,남아프리카공화국,유학연수,45.0,48.0,-6.2
2018,아프리카,남아프리카공화국,기타,4797.0,5178.0,-7.4
2018,아프리카,남아프리카공화국,전체,11795.0,11053.0,6.7
2018,아프리카,기타,관광,21230.0,20255.0,4.8
2018,아프리카,기타,상용,7321.0,6209.0,17.9
2018,아프리카,기타,공용,1049.0,1003.0,4.6
2018,아프리카,기타,유학연수,2918.0,2857.0,2.1
2018,아프리카,기타,기타,9406.0,7939.0,18.5
2018,아프리카,기타,전체,41924.0,38263.0,9.6
2018,기타,연도대륙,관광,505.0,439.0,15.0
2018,기타,연도대륙,상용,27.0,20.0,35.0
2018,기타,연도대륙,공용,0.0,0.0,0.0
2018,기타,연도대륙,유학연수,14.0,10.0,40.0
2018,기타,연도대륙,기타,249.0,255.0,-2.4
2018,기타,연도대륙,전체,795.0,724.0,9.8
2018,기타,기타,관광,505.0,439.0,15.0
2018,기타,기타,상용,27.0,20.0,35.0
2018,기타,기타,공용,0.0,0.0,0.0
2018,기타,기타,유학연수,14.0,10.0,40.0
2018,기타,기타,기타,249.0,255.0,-2.4
2018,기타,기타,전체,795.0,724.0,9.8
2018,교포,연도대륙,관광,0.0,0.0,0.0
2018,교포,연도대륙,상용,0.0,0.0,0.0
2018,교포,연도대륙,공용,0.0,0.0,0.0
2018,교포,연도대륙,유학연수,0.0,0.0,0.0
2018,교포,연도대륙,기타,251073.0,268854.0,-6.6
